name;school link
"scuola primaria ""a. frank"" zambana";https://www.vivoscuola.it/content/view/full/29574
"scuola primaria ""don g. grazioli"" lavis";https://www.vivoscuola.it/content/view/full/29575
scuola primaria pressano lavis;https://www.vivoscuola.it/content/view/full/29576
"scuola secondaria di primo grado ""a. stainer"" lavis";https://www.vivoscuola.it/content/view/full/29577
scuola dell'infanzia di s. margherita di ala;https://www.vivoscuola.it/content/view/full/30126
scuola primaria santa croce mezzano;https://www.vivoscuola.it/content/view/full/29830
scuola secondaria di primo grado santa croce mezzano;https://www.vivoscuola.it/content/view/full/29831
scuola dell'infanzia di martignano;https://www.vivoscuola.it/content/view/full/30034
scuola dell'infanzia di ponte arche;https://www.vivoscuola.it/content/view/full/30088
liceo linguistico arcivescovile dame inglesi - rovereto;https://www.vivoscuola.it/content/view/full/29238
scuola primaria arcivescovile dame inglesi rovereto;https://www.vivoscuola.it/content/view/full/29239
scuola secondaria di primo grado arcivescovile dame inglesi rovereto;https://www.vivoscuola.it/content/view/full/29240
"scuola primaria ""c.a. martini"" revo'";https://www.vivoscuola.it/content/view/full/29551
"scuola primaria ""madre teresa di calcutta"" romeno";https://www.vivoscuola.it/content/view/full/29552
"scuola primaria ""padre a. stefenelli"" fondo";https://www.vivoscuola.it/content/view/full/29553
"scuola primaria ""stefano zuech"" brez";https://www.vivoscuola.it/content/view/full/29554
scuola primaria castelfondo;https://www.vivoscuola.it/content/view/full/29555
scuola primaria cavareno;https://www.vivoscuola.it/content/view/full/29556
scuola primaria sanzeno;https://www.vivoscuola.it/content/view/full/29557
scuola primaria sarnonico;https://www.vivoscuola.it/content/view/full/29558
"scuola secondaria di primo grado ""c.a. martini"" revo'";https://www.vivoscuola.it/content/view/full/29559
"scuola secondaria di primo grado ""g. b. lampi"" fondo";https://www.vivoscuola.it/content/view/full/29560
scuola dell'infanzia di cles;https://www.vivoscuola.it/content/view/full/29978
"scuola primaria ""a. betta"" ala";https://www.vivoscuola.it/content/view/full/29422
"scuola primaria ""m.t. di calcutta"" serravalle";https://www.vivoscuola.it/content/view/full/29423
"scuola secondaria di primo grado ""c. battisti"" ala";https://www.vivoscuola.it/content/view/full/29424
scuola dell'infanzia di spormaggiore;https://www.vivoscuola.it/content/view/full/30152
scuola dell'infanzia di borgo valsugana;https://www.vivoscuola.it/content/view/full/29946
educazione per adulti relativa al primo ciclo;https://www.vivoscuola.it/content/view/full/29847
istituto tecnico per il settore economico;https://www.vivoscuola.it/content/view/full/29848
istituto tecnico per il settore economico serale;https://www.vivoscuola.it/content/view/full/29849
