index;academic year;school year;admission rate;school
378;2024/2025;5;99.29577464788733;570
379;2022/2023;1;0.0;457
380;2022/2023;2;27.27272727272727;457
381;2022/2023;3;0.0;457
382;2022/2023;4;30.0;457
383;2022/2023;5;61.53846153846154;457
384;2023/2024;1;0.0;457
385;2023/2024;2;10.0;457
386;2023/2024;3;0.0;457
387;2023/2024;4;22.727272727272727;457
388;2023/2024;5;63.63636363636363;457
389;2024/2025;1;0.0;457
390;2024/2025;2;0.0;457
391;2024/2025;3;0.0;457
392;2024/2025;4;23.076923076923077;457
393;2024/2025;5;81.25;457
394;2022/2023;1;0.0;459
395;2022/2023;2;0.0;459
396;2022/2023;3;4.761904761904762;459
397;2022/2023;4;46.666666666666664;459
398;2022/2023;5;81.81818181818183;459
399;2023/2024;1;0.0;459
400;2023/2024;2;50.0;459
401;2023/2024;3;6.25;459
402;2023/2024;4;22.22222222222222;459
403;2023/2024;5;76.92307692307693;459
404;2024/2025;1;0.0;459
405;2024/2025;2;30.0;459
406;2024/2025;3;13.043478260869565;459
407;2024/2025;4;55.55555555555556;459
408;2024/2025;5;70.0;459
409;2022/2023;1;96.29629629629629;460
410;2022/2023;2;100.0;460
411;2022/2023;3;100.0;460
412;2022/2023;4;100.0;460
413;2022/2023;5;100.0;460
414;2023/2024;1;87.5;460
415;2023/2024;2;92.3076923076923;460
416;2023/2024;3;100.0;460
417;2023/2024;4;100.0;460
418;2023/2024;5;91.66666666666666;460
419;2024/2025;1;91.30434782608695;460
420;2024/2025;2;95.83333333333334;460
421;2024/2025;3;100.0;460
422;2024/2025;4;100.0;460
423;2024/2025;5;100.0;460
424;2022/2023;1;92.72727272727272;458
425;2022/2023;2;92.3076923076923;458
426;2022/2023;3;100.0;458
427;2022/2023;4;100.0;458
428;2022/2023;5;100.0;458
429;2023/2024;1;87.5;458
430;2023/2024;2;98.24561403508771;458
431;2023/2024;3;86.11111111111111;458
432;2023/2024;4;100.0;458
433;2023/2024;5;100.0;458
434;2024/2025;1;95.91836734693877;458
435;2024/2025;2;100.0;458
436;2024/2025;3;93.22033898305084;458
437;2024/2025;4;100.0;458
438;2024/2025;5;97.61904761904762;458
439;2022/2023;1;0.0;461
440;2022/2023;2;60.0;461
441;2022/2023;3;0.0;461
442;2022/2023;4;100.0;461
443;2022/2023;5;50.0;461
444;2023/2024;1;0.0;461
445;2023/2024;2;0.0;461
446;2023/2024;3;0.0;461
447;2023/2024;4;40.0;461
448;2023/2024;5;80.0;461
449;2024/2025;1;0.0;461
450;2024/2025;2;0.0;461
