school;municipality
493;pergine valsugana
494;pergine valsugana
495;pergine valsugana
496;pergine valsugana
497;pergine valsugana
498;pergine valsugana
499;mezzolombardo
500;mezzolombardo
501;mezzolombardo
502;mezzolombardo
503;mezzolombardo
504;mezzolombardo
505;mezzolombardo
506;mezzolombardo
507;arco
508;arco
509;arco
510;arco
511;arco
512;trento
513;trento
514;trento
515;trento
516;trento
517;trento
518;mezzano
519;mezzano
520;trento
521;trento
522;cles
523;cles
524;cles
525;cles
526;cles
527;rovereto
528;rovereto
529;rovereto
530;rovereto
531;riva del garda
532;riva del garda
533;riva del garda
534;riva del garda
535;riva del garda
536;rovereto
537;rovereto
538;trento
539;trento
540;riva del garda
541;riva del garda
542;riva del garda
543;riva del garda
544;riva del garda
545;riva del garda
546;rovereto
547;rovereto
548;rovereto
549;rovereto
550;trento
551;trento
552;trento
553;trento
554;trento
555;trento
556;trento
557;cles
558;cles
559;cles
560;cles
561;cles
562;cles
563;cles
564;rovereto
565;rovereto
566;trento
567;rovereto
568;trento
569;trento
570;trento
571;trento
572;trento
573;trento
574;trento
575;rovereto
576;rovereto
577;rovereto
578;rovereto
579;ala
580;albiano
581;aldeno
582;andalo
583;arco
584;avio
585;levico terme
586;arco
587;bondone
588;rovereto
589;borgo valsugana
590;sella giudicarie
591;brentonico
592;calceranica al lago
593;campitello di fassa
594;campodenno
595;ville di fiemme
596;carisolo
597;sanzeno
598;villa lagarina
599;castello-molina di fiemme
600;castelnuovo
601;cavalese
602;cavedine
603;cembra lisignago
604;ala
605;cles
606;novella
607;borgo chiese
608;predaia
609;trento
610;brentonico
611;valdaone
612;denno
613;dimaro folgarida
614;altavalle
615;fiavé
616;primiero san martino di castrozza
617;borgo d'anaunia
618;fornace
619;trento
620;trento
621;grigno
622;pergine valsugana
623;lavis
624;rovereto
625;rovereto
626;storo
627;lona-lases
628;tre ville
629;pergine valsugana
630;malé
631;rovereto
632;roncegno terme
633;trento
634;cavalese
635;arco
636;cles
637;mezzano
638;mezzocorona
639;mezzolombardo
640;moena
641;ledro
642;predaia
643;molveno
644;sover
645;mori
646;nago-torbole
647;terre d'adige
648;nomi
649;ospedaletto
650;vallelaghi
651;villa lagarina
652;pergine valsugana
653;dro
654;pieve di bono-prezzo
655;pieve tesino
656;ala
657;pinzolo
658;comano terme
659;trento
660;trambileno
661;predazzo
662;lavis
663;bleggio superiore
664;vallelaghi
665;riva del garda
666;riva del garda
667;riva del garda
668;roncegno terme
669;ronchi valsugana
670;pergine valsugana
671;sella giudicarie
672;ronzo-chienis
673;rovereto
674;rovereto
675;comano terme
676;san lorenzo dorsino
677;ala
678;avio
679;primiero san martino di castrozza
680;madruzzo
681;scurelle
682;predaia
683;segonzano
684;ala
685;pergine valsugana
686;predaia
687;trento
688;spiazzo
689;spormaggiore
690;stenico
691;storo
692;castel ivano
693;pergine valsugana
694;predaia
695;telve
696;tenno
697;tesero
698;grigno
699;tione di trento
700;primiero san martino di castrozza
701;nago-torbole
702;torcegno
703;primiero san martino di castrozza
704;trento
705;trento
706;trento
707;trento
708;trento
709;trento
710;trento
711;trento
712;trento
713;trento
714;ville d'anaunia
715;riva del garda
716;vermiglio
717;vallelaghi
718;cavedine
719;trento
720;san giovanni di fassa
721;ton
722;comano terme
723;villa lagarina
724;trento
725;trento
726;volano
727;ziano di fiemme
728;san giovanni di fassa
729;san giovanni di fassa
730;san giovanni di fassa
731;san giovanni di fassa
732;san giovanni di fassa
733;canazei
734;moena
735;moena
736;campitello di fassa
737;san giovanni di fassa
738;rovereto
739;rovereto
740;civezzano
741;civezzano
742;civezzano
743;civezzano
