index;academic year;school year;number of students;number of classes;school
1695;2023/2024;4;23;1;402
1696;2023/2024;5;22;1;402
1697;2025/2026;1;16;1;401
1698;2025/2026;2;17;1;401
1699;2025/2026;3;17;1;401
1700;2025/2026;4;15;1;401
1701;2025/2026;5;18;1;401
1702;2024/2025;1;17;1;401
1703;2024/2025;2;17;1;401
1704;2024/2025;3;15;1;401
1705;2024/2025;4;16;1;401
1706;2024/2025;5;18;1;401
1707;2023/2024;1;20;1;401
1708;2023/2024;2;16;1;401
1709;2023/2024;3;15;1;401
1710;2023/2024;4;16;1;401
1711;2023/2024;5;19;1;401
1712;2025/2026;0;69;0;709
1713;2024/2025;0;82;0;709
1714;2023/2024;0;85;0;709
1715;2025/2026;1;119;6;403
1716;2025/2026;2;141;6;403
1717;2025/2026;3;124;6;403
1718;2024/2025;1;141;6;403
1719;2024/2025;2;132;6;403
1720;2024/2025;3;135;6;403
1721;2023/2024;1;130;6;403
1722;2023/2024;2;135;6;403
1723;2023/2024;3;150;7;403
1724;2025/2026;0;30;0;632
1725;2024/2025;0;35;0;632
1726;2023/2024;0;26;0;632
1727;2025/2026;0;75;0;706
1728;2024/2025;0;79;0;706
1729;2023/2024;0;82;0;706
1730;2025/2026;0;97;0;140
1731;2024/2025;0;104;0;140
1732;2023/2024;0;101;0;140
1733;2025/2026;0;28;0;139
1734;2024/2025;0;25;0;139
1735;2023/2024;0;35;0;139
1736;2025/2026;0;39;0;141
1737;2024/2025;0;27;0;141
1738;2023/2024;0;37;0;141
1739;2025/2026;0;44;0;142
1740;2024/2025;0;43;0;142
1741;2023/2024;0;50;0;142
1742;2025/2026;0;41;0;594
1743;2024/2025;0;44;0;594
1744;2023/2024;0;42;0;594
1745;2025/2026;0;55;0;143
1746;2024/2025;0;39;0;143
1747;2023/2024;0;38;0;143
1748;2025/2026;0;56;0;144
1749;2024/2025;0;65;0;144
1750;2023/2024;0;61;0;144
1751;2025/2026;0;13;0;146
1752;2024/2025;0;12;0;146
1753;2023/2024;0;10;0;146
1754;2025/2026;1;19;1;432
1755;2025/2026;2;9;1;432
1756;2025/2026;3;10;1;432
1757;2025/2026;4;13;1;432
1758;2025/2026;5;12;1;432
1759;2024/2025;1;9;1;432
1760;2024/2025;2;10;1;432
1761;2024/2025;3;11;1;432
1762;2024/2025;4;11;1;432
1763;2024/2025;5;14;1;432
1764;2023/2024;1;10;1;432
1765;2023/2024;2;10;1;432
1766;2023/2024;3;11;1;432
1767;2023/2024;4;15;1;432
1768;2023/2024;5;8;1;432
1769;2025/2026;0;123;0;147
1770;2024/2025;0;109;0;147
1771;2023/2024;0;107;0;147
1772;2025/2026;0;53;0;145
1773;2024/2025;0;60;0;145
1774;2023/2024;0;74;0;145
1775;2025/2026;1;8;1;430
1776;2025/2026;2;20;1;430
1777;2025/2026;3;21;1;430
1778;2025/2026;4;13;1;430
1779;2025/2026;5;24;1;430
1780;2024/2025;1;19;1;430
1781;2024/2025;2;20;1;430
1782;2024/2025;3;14;1;430
1783;2024/2025;4;24;1;430
1784;2024/2025;5;16;1;430
1785;2023/2024;1;21;1;430
1786;2023/2024;2;13;1;430
1787;2023/2024;3;24;1;430
1788;2023/2024;4;17;1;430
1789;2023/2024;5;16;1;430
1790;2025/2026;1;18;1;1
1791;2025/2026;2;18;1;1
1792;2025/2026;3;18;1;1
1793;2025/2026;4;23;1;1
1794;2025/2026;5;21;1;1
1795;2024/2025;1;16;1;1
1796;2024/2025;2;22;1;1
1797;2024/2025;3;24;1;1
1798;2024/2025;4;19;1;1
1799;2024/2025;5;24;1;1
1800;2023/2024;1;22;1;1
1801;2023/2024;2;20;1;1
1802;2023/2024;3;26;1;1
1803;2023/2024;4;24;1;1
1804;2023/2024;5;22;1;1
1805;2025/2026;1;17;1;431
1806;2025/2026;2;9;1;431
1807;2025/2026;3;12;1;431
1808;2025/2026;4;14;1;431
1809;2025/2026;5;13;1;431
1810;2024/2025;1;9;1;431
1811;2024/2025;2;12;1;431
1812;2024/2025;3;14;1;431
1813;2024/2025;4;12;1;431
1814;2024/2025;5;11;1;431
1815;2023/2024;1;13;1;431
1816;2023/2024;2;15;1;431
1817;2023/2024;3;13;1;431
1818;2023/2024;4;11;1;431
1819;2023/2024;5;11;1;431
1820;2025/2026;1;36;2;433
1821;2025/2026;2;41;2;433
1822;2025/2026;3;43;2;433
1823;2024/2025;1;40;2;433
1824;2024/2025;2;44;2;433
1825;2024/2025;3;38;2;433
1826;2023/2024;1;42;2;433
1827;2023/2024;2;39;2;433
1828;2023/2024;3;55;3;433
1829;2025/2026;1;51;3;480
1830;2025/2026;2;48;3;480
1831;2025/2026;3;60;3;480
1832;2025/2026;4;35;2;480
1833;2025/2026;5;27;2;480
1834;2024/2025;1;60;3;480
1835;2024/2025;2;58;3;480
1836;2024/2025;3;41;2;480
1837;2024/2025;4;26;2;480
1838;2024/2025;5;34;2;480
1839;2023/2024;1;66;3;480
1840;2023/2024;2;47;3;480
1841;2023/2024;3;25;2;480
1842;2023/2024;4;40;2;480
1843;2023/2024;5;41;3;480
1844;2025/2026;1;6;3;479
1845;2025/2026;3;2;1;479
1846;2025/2026;1;22;3;479
1847;2025/2026;3;2;1;479
1848;2024/2025;1;10;5;479
1849;2024/2025;3;4;1;479
1850;2024/2025;1;45;5;479
1851;2024/2025;3;4;1;479
1852;2023/2024;1;18;6;479
1853;2023/2024;3;6;1;479
1854;2023/2024;1;37;6;479
1855;2023/2024;3;6;1;479
1856;2025/2026;1;11;1;3
1857;2025/2026;2;13;1;3
1858;2025/2026;3;16;1;3
1859;2025/2026;4;16;1;3
1860;2025/2026;5;9;1;3
1861;2024/2025;1;11;1;3
1862;2024/2025;2;15;1;3
1863;2024/2025;3;17;1;3
1864;2024/2025;4;10;1;3
1865;2023/2024;1;18;1;3
1866;2023/2024;2;19;1;3
1867;2023/2024;3;12;1;3
1868;2025/2026;1;24;1;2
1869;2025/2026;2;18;1;2
1870;2025/2026;3;24;1;2
1871;2024/2025;1;17;1;2
1872;2024/2025;2;24;1;2
1873;2024/2025;3;25;1;2
1874;2023/2024;1;24;1;2
1875;2023/2024;2;22;1;2
1876;2023/2024;3;20;1;2
1877;2025/2026;2;1;1;483
1878;2025/2026;3;6;3;483
1879;2025/2026;2;1;1;483
1880;2025/2026;3;2;1;483
1881;2025/2026;4;4;1;483
1882;2025/2026;5;3;1;483
1883;2024/2025;3;10;5;483
1884;2024/2025;3;7;1;483
1885;2024/2025;4;6;1;483
1886;2024/2025;5;2;1;483
1887;2023/2024;3;18;3;483
1888;2023/2024;3;6;1;483
1889;2023/2024;4;6;1;483
1890;2023/2024;5;1;1;483
1891;2025/2026;1;46;2;482
1892;2025/2026;2;33;2;482
1893;2025/2026;3;30;2;482
1894;2025/2026;4;25;2;482
1895;2025/2026;5;14;1;482
1896;2024/2025;1;35;2;482
1897;2024/2025;2;34;2;482
1898;2024/2025;3;27;2;482
1899;2024/2025;4;13;1;482
1900;2024/2025;5;20;1;482
1901;2023/2024;1;47;2;482
1902;2023/2024;2;28;2;482
1903;2023/2024;3;15;1;482
1904;2023/2024;4;15;1;482
1905;2023/2024;5;17;1;482
1906;2025/2026;3;7;1;481
1907;2025/2026;4;14;2;481
1908;2025/2026;3;7;1;481
1909;2025/2026;4;7;1;481
1910;2025/2026;5;17;1;481
1911;2024/2025;3;45;5;481
1912;2024/2025;3;9;1;481
1913;2024/2025;4;15;1;481
1914;2024/2025;5;12;1;481
1915;2023/2024;3;21;3;481
1916;2023/2024;3;7;1;481
1917;2023/2024;4;9;1;481
1918;2023/2024;5;17;1;481
1919;2025/2026;1;15;1;486
1920;2025/2026;2;13;1;486
1921;2025/2026;3;17;1;486
1922;2025/2026;4;17;1;486
1923;2025/2026;5;11;1;486
1924;2024/2025;1;18;1;486
1925;2024/2025;2;16;1;486
1926;2024/2025;3;18;1;486
1927;2024/2025;4;11;1;486
1928;2024/2025;5;8;1;486
1929;2023/2024;1;23;1;486
1930;2023/2024;2;19;1;486
1931;2023/2024;3;12;1;486
1932;2023/2024;4;7;1;486
1933;2023/2024;5;23;1;486
1934;2025/2026;0;27;0;159
1935;2024/2025;0;29;0;159
1936;2023/2024;0;43;0;159
1937;2025/2026;1;32;2;484
1938;2025/2026;2;31;2;484
1939;2025/2026;3;28;2;484
1940;2025/2026;4;31;2;484
1941;2025/2026;5;17;1;484
1942;2024/2025;1;26;1;484
1943;2024/2025;2;31;2;484
1944;2024/2025;3;34;2;484
1945;2024/2025;4;20;1;484
1946;2024/2025;5;15;1;484
1947;2023/2024;1;25;1;484
1948;2023/2024;2;36;2;484
1949;2023/2024;3;20;1;484
1950;2023/2024;4;20;1;484
1951;2025/2026;1;27;2;487
1952;2025/2026;2;22;2;487
1953;2025/2026;3;26;2;487
1954;2025/2026;4;19;1;487
1955;2025/2026;5;18;1;487
1956;2024/2025;1;25;2;487
1957;2024/2025;2;27;2;487
1958;2024/2025;3;20;1;487
1959;2024/2025;4;20;1;487
1960;2024/2025;5;23;1;487
1961;2023/2024;1;31;2;487
1962;2023/2024;2;22;1;487
1963;2023/2024;3;18;1;487
1964;2023/2024;4;22;1;487
1965;2023/2024;5;18;1;487
1966;2023/2024;5;19;1;485
1967;2025/2026;1;9;1;224
1968;2025/2026;2;7;1;224
1969;2025/2026;3;9;1;224
1970;2025/2026;4;5;1;224
1971;2025/2026;5;5;1;224
1972;2024/2025;1;7;1;224
1973;2024/2025;2;8;1;224
1974;2024/2025;3;6;1;224
1975;2024/2025;4;5;1;224
1976;2024/2025;5;6;1;224
1977;2023/2024;1;8;1;224
1978;2023/2024;2;5;1;224
1979;2023/2024;3;5;1;224
1980;2023/2024;4;5;1;224
1981;2023/2024;5;8;1;224
1982;2025/2026;0;60;0;158
1983;2024/2025;0;61;0;158
1984;2023/2024;0;55;0;158
1985;2025/2026;0;21;0;160
1986;2024/2025;0;22;0;160
1987;2023/2024;0;23;0;160
1988;2025/2026;1;11;1;225
1989;2025/2026;3;15;1;225
1990;2025/2026;4;12;1;225
1991;2025/2026;5;9;1;225
1992;2024/2025;2;15;1;225
1993;2024/2025;3;13;1;225
1994;2024/2025;4;9;1;225
1995;2024/2025;5;19;1;225
1996;2023/2024;1;14;1;225
1997;2023/2024;2;14;1;225
1998;2023/2024;3;8;1;225
1999;2023/2024;4;18;1;225
2000;2023/2024;5;10;1;225
2001;2025/2026;1;5;1;226
2002;2025/2026;2;6;1;226
2003;2025/2026;3;2;1;226
2004;2025/2026;4;5;1;226
2005;2025/2026;5;7;1;226
2006;2024/2025;1;6;1;226
2007;2024/2025;2;3;1;226
2008;2024/2025;3;5;1;226
2009;2024/2025;4;7;1;226
2010;2024/2025;5;3;1;226
2011;2023/2024;1;5;2;226
2012;2023/2024;2;4;1;226
2013;2023/2024;3;6;1;226
2014;2023/2024;4;2;1;226
2015;2023/2024;5;6;1;226
2016;2025/2026;1;21;1;227
2017;2025/2026;2;26;2;227
2018;2025/2026;3;31;2;227
2019;2025/2026;4;28;2;227
2020;2025/2026;5;22;2;227
2021;2024/2025;1;24;2;227
2022;2024/2025;2;31;2;227
2023;2024/2025;3;25;2;227
2024;2024/2025;4;24;2;227
2025;2024/2025;5;32;2;227
2026;2023/2024;1;30;2;227
2027;2023/2024;2;24;2;227
2028;2023/2024;3;25;2;227
2029;2023/2024;4;32;2;227
2030;2023/2024;5;25;1;227
2031;2025/2026;1;19;1;232
2032;2025/2026;2;30;2;232
2033;2025/2026;3;29;2;232
2034;2024/2025;1;31;2;232
2035;2024/2025;2;30;2;232
2036;2024/2025;3;24;1;232
2037;2023/2024;1;28;2;232
2038;2023/2024;2;24;1;232
2039;2023/2024;3;27;2;232
2040;2025/2026;1;8;1;228
2041;2025/2026;2;9;1;228
2042;2025/2026;3;7;1;228
2043;2025/2026;4;8;1;228
2044;2025/2026;5;19;1;228
2045;2024/2025;1;8;1;228
2046;2024/2025;2;6;1;228
2047;2024/2025;3;8;1;228
2048;2024/2025;4;18;1;228
2049;2024/2025;5;10;1;228
2050;2023/2024;1;6;1;228
2051;2023/2024;2;8;1;228
2052;2023/2024;3;16;1;228
2053;2023/2024;4;10;1;228
2054;2023/2024;5;6;1;228
2055;2025/2026;1;28;2;229
2056;2025/2026;2;29;2;229
2057;2025/2026;3;31;2;229
2058;2025/2026;4;26;2;229
2059;2025/2026;5;21;1;229
2060;2024/2025;1;29;2;229
2061;2024/2025;2;32;2;229
2062;2024/2025;3;26;2;229
2063;2024/2025;4;21;1;229
2064;2024/2025;5;18;1;229
2065;2023/2024;1;32;2;229
2066;2023/2024;2;26;2;229
2067;2023/2024;3;20;1;229
2068;2023/2024;4;18;1;229
2069;2023/2024;5;31;2;229
2070;2025/2026;0;20;0;65
2071;2024/2025;0;19;0;65
2072;2023/2024;0;16;0;65
2073;2025/2026;1;19;1;231
2074;2025/2026;2;19;1;231
2075;2025/2026;3;31;2;231
2076;2024/2025;1;21;1;231
2077;2024/2025;2;30;2;231
2078;2024/2025;3;24;1;231
2079;2023/2024;1;28;2;231
2080;2023/2024;2;22;1;231
2081;2023/2024;3;10;1;231
2082;2025/2026;1;53;3;230
2083;2025/2026;2;35;2;230
2084;2025/2026;3;38;2;230
2085;2024/2025;1;33;2;230
2086;2024/2025;2;38;2;230
2087;2024/2025;3;35;2;230
2088;2023/2024;1;34;2;230
2089;2023/2024;2;34;2;230
2090;2023/2024;3;39;2;230
2091;2025/2026;0;30;0;68
2092;2024/2025;0;28;0;68
2093;2023/2024;0;30;0;68
2094;2025/2026;0;38;0;69
2095;2024/2025;0;32;0;69
2096;2023/2024;0;39;0;69
2097;2025/2026;0;43;0;67
2098;2024/2025;0;38;0;67
2099;2023/2024;0;44;0;67
2100;2025/2026;0;45;0;66
2101;2024/2025;0;54;0;66
2102;2023/2024;0;57;0;66
2103;2025/2026;0;36;0;73
2104;2024/2025;0;38;0;73
2105;2023/2024;0;36;0;73
2106;2025/2026;0;14;0;70
2107;2024/2025;0;15;0;70
2108;2023/2024;0;16;0;70
2109;2025/2026;0;51;0;72
2110;2024/2025;0;44;0;72
2111;2023/2024;0;38;0;72
2112;2025/2026;0;35;0;71
2113;2024/2025;0;34;0;71
2114;2023/2024;0;35;0;71
2115;2025/2026;0;55;0;74
2116;2024/2025;0;49;0;74
2117;2023/2024;0;40;0;74
2118;2025/2026;0;26;0;597
2119;2024/2025;0;23;0;597
2120;2023/2024;0;32;0;597
2121;2025/2026;0;16;0;75
2122;2024/2025;0;16;0;75
2123;2023/2024;0;11;0;75
2124;2025/2026;3;33;3;528
2125;2025/2026;3;11;1;528
2126;2025/2026;4;21;1;528
2127;2025/2026;5;12;1;528
2128;2024/2025;3;42;3;528
2129;2024/2025;3;14;1;528
2130;2024/2025;4;10;1;528
2131;2024/2025;5;14;1;528
2132;2023/2024;3;33;3;528
2133;2023/2024;3;11;1;528
2134;2023/2024;4;8;1;528
2135;2023/2024;5;16;1;528
2136;2025/2026;1;130;6;527
2137;2025/2026;2;103;5;527
2138;2025/2026;3;101;5;527
2139;2025/2026;4;85;4;527
2140;2025/2026;5;67;4;527
2141;2024/2025;1;112;5;527
2142;2024/2025;2;111;5;527
2143;2024/2025;3;99;5;527
2144;2024/2025;4;66;4;527
2145;2024/2025;5;48;3;527
2146;2023/2024;1;115;5;527
2147;2023/2024;2;94;4;527
2148;2023/2024;3;88;4;527
2149;2023/2024;4;54;3;527
2150;2023/2024;5;55;4;527
2151;2025/2026;0;22;0;76
2152;2024/2025;0;22;0;76
2153;2023/2024;0;22;0;76
2154;2025/2026;0;41;0;77
2155;2024/2025;0;44;0;77
2156;2023/2024;0;48;0;77
2157;2025/2026;1;53;3;529
2158;2025/2026;2;29;2;529
2159;2025/2026;3;38;2;529
2160;2025/2026;4;29;2;529
2161;2025/2026;5;12;1;529
2162;2024/2025;1;38;2;529
2163;2024/2025;2;39;2;529
2164;2024/2025;3;32;2;529
2165;2024/2025;4;12;1;529
2166;2024/2025;5;21;1;529
2167;2023/2024;1;40;2;529
2168;2023/2024;2;38;2;529
2169;2023/2024;3;16;1;529
2170;2023/2024;4;21;1;529
2171;2023/2024;5;26;2;529
2172;2025/2026;5;9;3;530
2173;2025/2026;3;8;1;530
2174;2025/2026;4;10;1;530
2175;2025/2026;5;3;1;530
2176;2024/2025;5;18;3;530
2177;2024/2025;3;10;1;530
2178;2024/2025;4;5;1;530
2179;2024/2025;5;6;1;530
2180;2023/2024;4;21;3;530
2181;2023/2024;3;6;1;530
2182;2023/2024;4;7;1;530
2183;2023/2024;5;4;1;530
2184;2025/2026;1;5;1;438
2185;2025/2026;2;10;1;438
2186;2025/2026;3;14;1;438
2187;2025/2026;4;10;1;438
2188;2025/2026;5;16;1;438
2189;2024/2025;1;11;1;438
2190;2024/2025;2;14;1;438
2191;2024/2025;3;10;1;438
2192;2024/2025;4;16;1;438
2193;2024/2025;5;12;1;438
2194;2023/2024;1;13;1;438
2195;2023/2024;2;10;1;438
2196;2023/2024;3;14;1;438
2197;2023/2024;4;12;1;438
2198;2023/2024;5;10;1;438
2199;2025/2026;1;32;2;157
2200;2025/2026;2;25;1;157
2201;2025/2026;3;21;1;157
2202;2025/2026;4;38;2;157
2203;2025/2026;5;44;2;157
2204;2024/2025;1;25;1;157
2205;2024/2025;2;23;1;157
2206;2024/2025;3;39;2;157
2207;2024/2025;4;44;2;157
2208;2024/2025;5;45;2;157
2209;2023/2024;1;24;1;157
2210;2023/2024;2;39;2;157
2211;2023/2024;3;44;2;157
2212;2023/2024;4;45;2;157
2213;2023/2024;5;44;2;157
2214;2025/2026;1;84;4;571
2215;2025/2026;2;65;3;571
2216;2025/2026;3;114;5;571
2217;2025/2026;4;55;4;571
2218;2025/2026;5;74;4;571
2219;2024/2025;1;75;3;571
2220;2024/2025;2;96;5;571
2221;2024/2025;3;54;4;571
2222;2024/2025;4;77;4;571
2223;2024/2025;5;112;6;571
2224;2023/2024;1;105;5;571
2225;2023/2024;2;60;4;571
2226;2023/2024;3;84;4;571
2227;2023/2024;4;114;6;571
2228;2023/2024;5;98;6;571
2229;2025/2026;1;21;1;440
2230;2025/2026;2;18;1;440
2231;2025/2026;3;18;1;440
2232;2025/2026;4;28;2;440
2233;2025/2026;5;23;2;440
2234;2024/2025;1;19;1;440
2235;2024/2025;2;18;1;440
2236;2024/2025;3;30;2;440
2237;2024/2025;4;23;2;440
2238;2024/2025;5;21;1;440
2239;2023/2024;1;19;1;440
2240;2023/2024;2;30;2;440
2241;2023/2024;3;23;2;440
2242;2023/2024;4;22;1;440
2243;2023/2024;5;29;2;440
2244;2025/2026;1;26;2;439
2245;2025/2026;2;44;2;439
2246;2025/2026;3;33;2;439
2247;2025/2026;4;45;2;439
2248;2025/2026;5;41;2;439
2249;2024/2025;1;45;2;439
2250;2024/2025;2;34;2;439
2251;2024/2025;3;44;2;439
2252;2024/2025;4;40;2;439
2253;2024/2025;5;50;2;439
2254;2023/2024;1;34;2;439
2255;2023/2024;2;42;2;439
2256;2023/2024;3;38;2;439
2257;2023/2024;4;48;2;439
2258;2023/2024;5;48;2;439
2259;2025/2026;1;100;4;572
2260;2025/2026;2;111;5;572
2261;2025/2026;3;75;4;572
2262;2025/2026;4;88;5;572
2263;2025/2026;5;74;4;572
2264;2024/2025;1;124;5;572
2265;2024/2025;2;77;4;572
2266;2024/2025;3;87;5;572
2267;2024/2025;4;77;4;572
2268;2024/2025;5;62;3;572
2269;2023/2024;1;82;4;572
2270;2023/2024;2;97;5;572
2271;2023/2024;3;81;4;572
2272;2023/2024;4;66;3;572
2273;2023/2024;5;66;4;572
2274;2025/2026;0;25;0;690
2275;2024/2025;0;23;0;690
2276;2023/2024;0;25;0;690
2277;2025/2026;1;19;1;441
2278;2025/2026;2;10;1;441
2279;2025/2026;3;15;1;441
2280;2025/2026;4;15;1;441
2281;2025/2026;5;23;1;441
2282;2024/2025;1;10;1;441
2283;2024/2025;2;14;1;441
2284;2024/2025;3;16;1;441
2285;2024/2025;4;23;1;441
2286;2024/2025;5;16;1;441
2287;2023/2024;1;15;1;441
2288;2023/2024;2;15;1;441
2289;2023/2024;3;24;1;441
2290;2023/2024;4;16;1;441
2291;2023/2024;5;12;1;441
2292;2025/2026;1;92;4;442
2293;2025/2026;2;89;4;442
2294;2025/2026;3;80;4;442
2295;2024/2025;1;92;4;442
2296;2024/2025;2;83;4;442
2297;2024/2025;3;84;4;442
2298;2023/2024;1;83;4;442
2299;2023/2024;2;83;4;442
2300;2023/2024;3;85;4;442
2301;2025/2026;1;126;6;162
2302;2025/2026;2;95;6;162
2303;2025/2026;3;108;6;162
2304;2025/2026;4;72;5;162
2305;2025/2026;5;78;5;162
2306;2025/2026;6;27;1;162
2307;2024/2025;1;126;6;162
2308;2024/2025;2;116;6;162
2309;2024/2025;3;79;5;162
2310;2024/2025;4;79;5;162
2311;2024/2025;5;74;5;162
2312;2024/2025;6;17;1;162
2313;2023/2024;1;124;6;162
2314;2023/2024;2;93;5;162
2315;2023/2024;3;79;5;162
2316;2023/2024;4;81;5;162
2317;2023/2024;5;77;5;162
2318;2023/2024;6;21;1;162
2319;2025/2026;5;24;1;161
2320;2024/2025;5;39;2;161
2321;2025/2026;1;82;4;163
2322;2025/2026;2;69;4;163
2323;2025/2026;3;62;8;163
2324;2025/2026;4;52;8;163
2325;2024/2025;1;82;5;163
2326;2024/2025;2;69;4;163
2327;2024/2025;3;67;8;163
2328;2024/2025;4;60;8;163
2329;2023/2024;1;84;4;163
2330;2023/2024;2;70;4;163
2331;2023/2024;3;76;11;163
2332;2023/2024;4;68;7;163
2333;2023/2024;5;17;1;163
2334;2025/2026;1;16;1;436
2335;2025/2026;2;20;1;436
2336;2025/2026;3;23;1;436
2337;2025/2026;4;24;1;436
2338;2025/2026;5;25;2;436
2339;2024/2025;1;21;1;436
2340;2024/2025;2;19;1;436
2341;2024/2025;3;23;1;436
2342;2024/2025;4;27;2;436
2343;2024/2025;5;20;1;436
2344;2023/2024;1;20;1;436
2345;2023/2024;2;24;1;436
2346;2023/2024;3;28;2;436
2347;2023/2024;4;21;1;436
2348;2023/2024;5;20;1;436
2349;2025/2026;0;98;0;715
2350;2024/2025;0;120;0;715
2351;2023/2024;0;122;0;715
2352;2025/2026;0;22;0;611
2353;2024/2025;0;24;0;611
2354;2023/2024;0;21;0;611
2355;2025/2026;1;58;3;437
2356;2025/2026;2;58;3;437
2357;2025/2026;3;64;3;437
2358;2024/2025;1;58;3;437
2359;2024/2025;2;64;3;437
2360;2024/2025;3;46;2;437
2361;2023/2024;1;65;3;437
2362;2023/2024;2;47;2;437
2363;2023/2024;3;59;3;437
2364;2025/2026;0;59;0;657
2365;2024/2025;0;66;0;657
2366;2023/2024;0;66;0;657
2367;2025/2026;1;13;1;434
2368;2025/2026;2;17;1;434
2369;2025/2026;3;13;1;434
2370;2025/2026;4;14;1;434
2371;2025/2026;5;10;1;434
2372;2024/2025;1;18;1;434
2373;2024/2025;2;14;1;434
2374;2024/2025;3;13;1;434
2375;2024/2025;4;11;1;434
2376;2024/2025;5;22;1;434
2377;2023/2024;1;13;1;434
2378;2023/2024;2;13;1;434
2379;2023/2024;3;13;1;434
2380;2023/2024;4;22;1;434
2381;2023/2024;5;20;1;434
2382;2025/2026;1;77;4;566
2383;2025/2026;2;79;4;566
2384;2025/2026;3;85;4;566
2385;2025/2026;4;69;4;566
2386;2025/2026;5;49;3;566
2387;2024/2025;1;90;4;566
2388;2024/2025;2;87;5;566
2389;2024/2025;3;71;4;566
2390;2024/2025;4;52;3;566
2391;2024/2025;5;73;4;566
2392;2023/2024;1;102;5;566
2393;2023/2024;2;75;4;566
2394;2023/2024;3;53;3;566
2395;2023/2024;4;80;5;566
2396;2023/2024;5;71;4;566
2397;2025/2026;1;11;1;435
2398;2025/2026;2;7;1;435
2399;2025/2026;3;13;1;435
2400;2025/2026;4;6;1;435
2401;2025/2026;5;8;1;435
2402;2024/2025;1;7;1;435
2403;2024/2025;2;14;1;435
2404;2024/2025;3;7;1;435
2405;2024/2025;4;9;1;435
2406;2024/2025;5;12;1;435
2407;2023/2024;1;14;1;435
2408;2023/2024;2;7;1;435
2409;2023/2024;3;9;1;435
2410;2023/2024;4;12;1;435
2411;2023/2024;5;19;1;435
2412;2025/2026;1;84;4;378
2413;2025/2026;2;81;4;378
2414;2025/2026;3;97;4;378
2415;2024/2025;1;85;4;378
2416;2024/2025;2;92;4;378
2417;2024/2025;3;93;4;378
2418;2023/2024;1;91;4;378
2419;2023/2024;2;90;4;378
2420;2023/2024;3;116;5;378
2421;2025/2026;1;45;2;376
2422;2025/2026;2;35;2;376
2423;2025/2026;3;36;2;376
2424;2025/2026;4;48;2;376
2425;2025/2026;5;40;2;376
2426;2024/2025;1;36;2;376
2427;2024/2025;2;34;2;376
2428;2024/2025;3;48;2;376
2429;2024/2025;4;38;2;376
2430;2024/2025;5;41;2;376
2431;2023/2024;1;34;2;376
2432;2023/2024;2;48;2;376
2433;2023/2024;3;36;2;376
2434;2023/2024;4;41;2;376
2435;2023/2024;5;46;2;376
2436;2025/2026;0;49;0;694
2437;2024/2025;0;49;0;694
2438;2023/2024;0;58;0;694
2439;2025/2026;1;38;2;377
2440;2025/2026;2;29;2;377
2441;2025/2026;3;29;2;377
2442;2025/2026;4;38;2;377
2443;2025/2026;5;44;2;377
2444;2024/2025;1;29;2;377
2445;2024/2025;2;28;2;377
2446;2024/2025;3;41;2;377
2447;2024/2025;4;47;2;377
2448;2024/2025;5;47;3;377
2449;2023/2024;1;30;2;377
2450;2023/2024;2;39;2;377
2451;2023/2024;3;48;2;377
2452;2023/2024;4;47;3;377
2453;2023/2024;5;42;2;377
2454;2025/2026;0;38;0;612
2455;2024/2025;0;32;0;612
2456;2023/2024;0;21;0;612
2457;2025/2026;1;71;3;517
2458;2025/2026;2;75;3;517
2459;2025/2026;3;74;3;517
2460;2024/2025;1;75;3;517
2461;2024/2025;2;73;3;517
2462;2024/2025;3;69;3;517
2463;2023/2024;1;71;3;517
2464;2023/2024;2;75;3;517
2465;2023/2024;3;74;3;517
2466;2025/2026;0;55;0;692
2467;2024/2025;0;54;0;692
2468;2023/2024;0;45;0;692
2469;2025/2026;1;14;1;300
2470;2025/2026;2;17;1;300
2471;2025/2026;3;13;1;300
2472;2025/2026;4;18;1;300
2473;2025/2026;5;18;1;300
2474;2024/2025;1;17;1;300
2475;2024/2025;2;13;1;300
2476;2024/2025;3;17;1;300
2477;2024/2025;4;17;1;300
2478;2024/2025;5;20;1;300
2479;2023/2024;1;15;1;300
2480;2023/2024;2;15;1;300
2481;2023/2024;3;17;1;300
2482;2023/2024;4;19;1;300
2483;2023/2024;5;16;1;300
2484;2025/2026;5;49;2;5
2485;2024/2025;5;29;1;5
2486;2025/2026;1;19;1;299
2487;2025/2026;2;17;1;299
2488;2025/2026;3;11;1;299
2489;2025/2026;4;10;1;299
2490;2025/2026;5;16;1;299
2491;2024/2025;1;16;1;299
2492;2024/2025;2;12;1;299
2493;2024/2025;3;12;1;299
2494;2024/2025;4;16;1;299
2495;2024/2025;5;12;1;299
2496;2023/2024;1;11;1;299
2497;2023/2024;2;12;1;299
2498;2023/2024;3;15;1;299
2499;2023/2024;4;12;1;299
2500;2023/2024;5;9;1;299
2501;2025/2026;1;66;3;6
2502;2025/2026;2;56;3;6
2503;2025/2026;3;54;3;6
2504;2025/2026;4;47;2;6
2505;2024/2025;1;73;3;6
2506;2024/2025;2;61;3;6
2507;2024/2025;3;57;3;6
2508;2024/2025;4;48;2;6
2509;2023/2024;1;67;3;6
2510;2023/2024;2;65;4;6
2511;2023/2024;3;59;3;6
2512;2023/2024;4;36;2;6
2513;2023/2024;5;20;1;6
2514;2025/2026;1;157;7;302
2515;2025/2026;2;120;6;302
2516;2025/2026;3;139;7;302
