index;academic year;school year;number of students;number of classes;school
378;2025/2026;2;29;2;315
379;2025/2026;3;26;2;315
380;2024/2025;1;30;2;315
381;2024/2025;2;27;2;315
382;2024/2025;3;25;2;315
383;2023/2024;1;29;2;315
384;2023/2024;2;29;2;315
385;2023/2024;3;33;2;315
386;2025/2026;0;39;0;696
387;2024/2025;0;44;0;696
388;2023/2024;0;46;0;696
389;2025/2026;0;16;0;660
390;2024/2025;0;19;0;660
391;2023/2024;0;28;0;660
392;2025/2026;1;117;9;456
393;2025/2026;3;19;1;456
394;2025/2026;1;103;9;456
395;2025/2026;3;19;1;456
396;2024/2025;1;396;6;456
397;2024/2025;3;50;2;456
398;2024/2025;1;191;5;456
399;2024/2025;3;26;1;456
400;2023/2024;1;360;5;456
401;2023/2024;3;22;1;456
402;2023/2024;1;160;5;456
403;2023/2024;3;22;1;456
404;2025/2026;1;114;6;570
405;2025/2026;2;142;8;570
406;2025/2026;3;139;7;570
407;2025/2026;4;142;8;570
408;2025/2026;5;157;9;570
409;2024/2025;1;173;8;570
410;2024/2025;2;153;7;570
411;2024/2025;3;146;8;570
412;2024/2025;4;156;9;570
413;2024/2025;5;144;8;570
414;2023/2024;1;169;7;570
415;2023/2024;2;170;8;570
416;2023/2024;3;171;9;570
417;2023/2024;4;146;8;570
418;2023/2024;5;136;8;570
419;2025/2026;2;44;4;457
420;2025/2026;2;11;1;457
421;2025/2026;3;7;1;457
422;2025/2026;4;16;1;457
423;2025/2026;5;7;1;457
424;2024/2025;2;50;5;457
425;2024/2025;2;10;2;457
426;2024/2025;3;17;1;457
427;2024/2025;4;19;1;457
428;2024/2025;5;16;1;457
429;2023/2024;2;84;7;457
430;2023/2024;2;12;1;457
431;2023/2024;3;20;2;457
432;2023/2024;4;24;2;457
433;2023/2024;5;11;2;457
434;2025/2026;2;7;1;459
435;2025/2026;3;42;3;459
436;2025/2026;2;7;1;459
437;2025/2026;3;14;1;459
438;2025/2026;4;7;1;459
439;2025/2026;5;13;1;459
440;2024/2025;2;11;1;459
441;2024/2025;4;36;3;459
442;2024/2025;2;11;1;459
443;2024/2025;3;24;1;459
444;2024/2025;4;12;1;459
445;2024/2025;5;10;1;459
446;2023/2024;2;8;1;459
447;2023/2024;4;39;3;459
448;2023/2024;2;8;1;459
449;2023/2024;3;17;1;459
450;2023/2024;4;13;1;459
451;2023/2024;5;14;1;459
452;2025/2026;1;15;1;460
453;2025/2026;2;20;1;460
454;2025/2026;3;22;1;460
455;2025/2026;4;22;1;460
456;2025/2026;5;7;1;460
457;2024/2025;1;25;1;460
458;2024/2025;2;28;2;460
459;2024/2025;3;24;2;460
460;2024/2025;4;7;1;460
461;2024/2025;5;13;1;460
462;2023/2024;1;32;2;460
463;2023/2024;2;28;2;460
464;2023/2024;3;7;1;460
465;2023/2024;4;12;1;460
466;2023/2024;5;12;1;460
467;2025/2026;1;61;3;458
468;2025/2026;2;49;2;458
469;2025/2026;3;53;3;458
470;2025/2026;4;56;3;458
471;2025/2026;5;31;2;458
472;2024/2025;1;54;2;458
473;2024/2025;2;51;2;458
474;2024/2025;3;61;3;458
475;2024/2025;4;32;2;458
476;2024/2025;5;42;2;458
477;2023/2024;1;49;2;458
478;2023/2024;2;59;3;458
479;2023/2024;3;36;3;458
480;2023/2024;4;42;2;458
481;2023/2024;5;23;2;458
482;2025/2026;2;4;1;461
483;2025/2026;3;9;3;461
484;2025/2026;2;4;1;461
485;2025/2026;3;3;1;461
486;2025/2026;4;4;1;461
487;2025/2026;5;5;1;461
488;2024/2025;2;4;1;461
489;2024/2025;3;33;3;461
490;2024/2025;2;4;2;461
491;2024/2025;3;11;2;461
492;2024/2025;4;8;1;461
493;2024/2025;5;6;1;461
494;2023/2024;2;4;1;461
495;2023/2024;3;27;3;461
496;2023/2024;2;4;1;461
497;2023/2024;3;9;1;461
498;2023/2024;4;5;1;461
499;2023/2024;5;5;1;461
500;2025/2026;1;61;3;462
501;2025/2026;2;45;2;462
502;2025/2026;3;29;2;462
503;2025/2026;4;34;2;462
504;2025/2026;5;26;2;462
505;2024/2025;1;49;2;462
506;2024/2025;2;35;2;462
507;2024/2025;3;37;2;462
508;2024/2025;4;27;2;462
509;2024/2025;5;35;2;462
510;2023/2024;1;32;2;462
511;2023/2024;2;39;2;462
512;2023/2024;3;28;2;462
513;2023/2024;4;36;2;462
514;2023/2024;5;29;2;462
515;2025/2026;0;16;0;595
516;2024/2025;0;20;0;595
517;2023/2024;0;23;0;595
518;2025/2026;1;47;2;464
519;2025/2026;2;41;2;464
520;2025/2026;3;25;2;464
521;2025/2026;4;29;2;464
522;2025/2026;5;33;2;464
523;2024/2025;1;45;2;464
