main institute;school;miur code;entity;address;miur code list;school count;check
circolo di coordinamento n. 11;scuola dell'infanzia di mione rumo;;school;frazione mione, 54 38020;"";13;13
circolo di coordinamento n. 11;scuola dell'infanzia di monclassico;;school;via berera - monclassico, 6 38025;"";13;13
circolo di coordinamento n. 11;"scuola dell'infanzia di pellizzano ""antonio bontempelli""";;school;via dei baschenis, 3 38020;"";13;13
circolo di coordinamento n. 11;scuola dell'infanzia di rabbi;;school;frazione pracorno, 98/b 38020;"";13;13
circolo di coordinamento n. 11;"scuola dell'infanzia di romeno  ""città della gioia""";;school;via monsignor rosati, 6 38010;"";13;13
circolo di coordinamento n. 11;scuola dell'infanzia di ruffrè;;school;maso lana, 3 38010;"";13;13
circolo di coordinamento n. 11;"scuola dell'infanzia di sarnonico ""giardino dei sogni""";;school;viale s lorenzo, 6 38011;"";13;13
circolo di coordinamento n. 11;"scuola dell'infanzia di terzolas ""caterina graifenberg""";;school;via kessler, 23 38027;"";13;13
circolo di coordinamento n. 2;;;institute;via temanza, 4 38051;"";13;13
circolo di coordinamento n. 2;scuola dell'infanzia di bieno;;school;via ammiraglio bettolo, 21 38050;"";13;13
circolo di coordinamento n. 2;scuola dell'infanzia di bosentino;;school;via alle scuole - bosentino, 12 38049;"";13;13
circolo di coordinamento n. 2;"scuola dell'infanzia di caldonazzo ""maria bambina""";;school;via asilo, 1 38052;"";13;13
circolo di coordinamento n. 2;"scuola dell'infanzia di canal san bovo ""lausen""";;school;localita lausen, 13 38050;"";13;13
circolo di coordinamento n. 2;scuola dell'infanzia di castello tesino;;school;via venezia, 16/a 38053;"";13;13
circolo di coordinamento n. 2;scuola dell'infanzia di centa san nicolò;;school;via dei campi - centa san nicolo, 14 38049;"";13;13
circolo di coordinamento n. 2;scuola dell'infanzia di imer;;school;via nazionale, 71 38050;"";13;13
circolo di coordinamento n. 2;"scuola dell'infanzia di levico terme ""taita marcos""";;school;via monsignor caproni, 1 38056;"";13;13
circolo di coordinamento n. 2;"scuola dell'infanzia di novaledo ""don evaristo forrer""";;school;via valle, 4 38050;"";13;13
circolo di coordinamento n. 2;"scuola dell'infanzia di tenna ""il sentiero""";;school;via venezia, 1 38050;"";13;13
circolo di coordinamento n. 2;scuola dell'infanzia di vattaro;;school;via giardino - vattaro, 7 38049;"";13;13
circolo di coordinamento n. 2;"scuola dell'infanzia di vigolo vattaro ""giardino dell'amicizia""";;school;via al castello - vigolo vattaro, 10 38049;"";13;13
