vivoscuola school link;academic year;school year;number of students;number of classes
https://www.vivoscuola.it/content/view/full/29712;2025/2026;5;22;1
https://www.vivoscuola.it/content/view/full/29712;2024/2025;1;21;1
https://www.vivoscuola.it/content/view/full/29712;2024/2025;2;20;1
https://www.vivoscuola.it/content/view/full/29712;2024/2025;3;21;1
https://www.vivoscuola.it/content/view/full/29712;2024/2025;4;23;1
https://www.vivoscuola.it/content/view/full/29712;2024/2025;5;27;2
https://www.vivoscuola.it/content/view/full/29712;2023/2024;1;21;1
https://www.vivoscuola.it/content/view/full/29712;2023/2024;2;21;1
https://www.vivoscuola.it/content/view/full/29712;2023/2024;3;23;1
https://www.vivoscuola.it/content/view/full/29712;2023/2024;4;27;2
https://www.vivoscuola.it/content/view/full/29712;2023/2024;5;28;2
https://www.vivoscuola.it/content/view/full/29714;2025/2026;1;71;4
https://www.vivoscuola.it/content/view/full/29714;2025/2026;2;67;4
https://www.vivoscuola.it/content/view/full/29714;2025/2026;3;64;3
https://www.vivoscuola.it/content/view/full/29714;2025/2026;4;76;4
https://www.vivoscuola.it/content/view/full/29714;2025/2026;5;63;3
https://www.vivoscuola.it/content/view/full/29714;2024/2025;1;70;4
https://www.vivoscuola.it/content/view/full/29714;2024/2025;2;64;3
https://www.vivoscuola.it/content/view/full/29714;2024/2025;3;76;4
https://www.vivoscuola.it/content/view/full/29714;2024/2025;4;61;3
https://www.vivoscuola.it/content/view/full/29714;2024/2025;5;53;3
https://www.vivoscuola.it/content/view/full/29714;2023/2024;1;64;3
https://www.vivoscuola.it/content/view/full/29714;2023/2024;2;77;4
https://www.vivoscuola.it/content/view/full/29714;2023/2024;3;63;3
https://www.vivoscuola.it/content/view/full/29714;2023/2024;4;52;3
https://www.vivoscuola.it/content/view/full/29714;2023/2024;5;77;4
https://www.vivoscuola.it/content/view/full/29715;2025/2026;1;43;2
https://www.vivoscuola.it/content/view/full/29715;2025/2026;2;37;2
https://www.vivoscuola.it/content/view/full/29715;2025/2026;3;32;2
https://www.vivoscuola.it/content/view/full/29715;2025/2026;4;41;2
https://www.vivoscuola.it/content/view/full/29715;2025/2026;5;44;2
https://www.vivoscuola.it/content/view/full/29715;2024/2025;1;37;2
https://www.vivoscuola.it/content/view/full/29715;2024/2025;2;33;2
https://www.vivoscuola.it/content/view/full/29715;2024/2025;3;43;2
https://www.vivoscuola.it/content/view/full/29715;2024/2025;4;45;2
https://www.vivoscuola.it/content/view/full/29715;2024/2025;5;38;2
https://www.vivoscuola.it/content/view/full/29715;2023/2024;1;37;2
https://www.vivoscuola.it/content/view/full/29715;2023/2024;2;44;2
https://www.vivoscuola.it/content/view/full/29715;2023/2024;3;47;2
https://www.vivoscuola.it/content/view/full/29715;2023/2024;4;39;2
https://www.vivoscuola.it/content/view/full/29715;2023/2024;5;52;3
https://www.vivoscuola.it/content/view/full/29594;2025/2026;1;14;1
https://www.vivoscuola.it/content/view/full/29594;2025/2026;2;11;1
https://www.vivoscuola.it/content/view/full/29594;2025/2026;3;16;1
https://www.vivoscuola.it/content/view/full/29594;2025/2026;4;13;1
https://www.vivoscuola.it/content/view/full/29594;2025/2026;5;24;1
https://www.vivoscuola.it/content/view/full/29594;2024/2025;1;10;1
https://www.vivoscuola.it/content/view/full/29594;2024/2025;2;17;1
https://www.vivoscuola.it/content/view/full/29594;2024/2025;3;12;1
https://www.vivoscuola.it/content/view/full/29594;2024/2025;4;24;1
https://www.vivoscuola.it/content/view/full/29594;2024/2025;5;14;1
https://www.vivoscuola.it/content/view/full/29594;2023/2024;1;17;1
https://www.vivoscuola.it/content/view/full/29594;2023/2024;2;13;1
https://www.vivoscuola.it/content/view/full/29594;2023/2024;3;23;1
https://www.vivoscuola.it/content/view/full/29594;2023/2024;4;13;1
https://www.vivoscuola.it/content/view/full/29594;2023/2024;5;21;1
https://www.vivoscuola.it/content/view/full/29591;2025/2026;1;68;3
https://www.vivoscuola.it/content/view/full/29591;2025/2026;2;66;3
https://www.vivoscuola.it/content/view/full/29591;2025/2026;3;72;3
https://www.vivoscuola.it/content/view/full/29591;2025/2026;4;72;3
https://www.vivoscuola.it/content/view/full/29591;2025/2026;5;75;4
https://www.vivoscuola.it/content/view/full/29591;2024/2025;1;64;3
https://www.vivoscuola.it/content/view/full/29591;2024/2025;2;71;3
https://www.vivoscuola.it/content/view/full/29591;2024/2025;3;70;3
https://www.vivoscuola.it/content/view/full/29591;2024/2025;4;74;4
https://www.vivoscuola.it/content/view/full/29591;2024/2025;5;75;4
https://www.vivoscuola.it/content/view/full/29591;2023/2024;1;74;3
https://www.vivoscuola.it/content/view/full/29591;2023/2024;2;68;3
https://www.vivoscuola.it/content/view/full/29591;2023/2024;3;74;4
https://www.vivoscuola.it/content/view/full/29591;2023/2024;4;76;4
https://www.vivoscuola.it/content/view/full/29591;2023/2024;5;90;4
https://www.vivoscuola.it/content/view/full/29593;2025/2026;1;5;1
https://www.vivoscuola.it/content/view/full/29593;2025/2026;2;5;1
https://www.vivoscuola.it/content/view/full/29593;2025/2026;3;7;1
https://www.vivoscuola.it/content/view/full/29593;2025/2026;4;6;1
https://www.vivoscuola.it/content/view/full/29593;2025/2026;5;6;1
https://www.vivoscuola.it/content/view/full/29593;2024/2025;1;6;1
https://www.vivoscuola.it/content/view/full/29593;2024/2025;2;7;1
https://www.vivoscuola.it/content/view/full/29593;2024/2025;3;8;1
https://www.vivoscuola.it/content/view/full/29593;2024/2025;4;8;1
https://www.vivoscuola.it/content/view/full/29593;2024/2025;5;5;1
https://www.vivoscuola.it/content/view/full/29593;2023/2024;1;7;1
https://www.vivoscuola.it/content/view/full/29593;2023/2024;2;8;1
https://www.vivoscuola.it/content/view/full/29593;2023/2024;3;8;1
https://www.vivoscuola.it/content/view/full/29593;2023/2024;4;5;1
https://www.vivoscuola.it/content/view/full/29593;2023/2024;5;9;1
https://www.vivoscuola.it/content/view/full/29592;2025/2026;1;5;1
https://www.vivoscuola.it/content/view/full/29592;2025/2026;2;9;1
https://www.vivoscuola.it/content/view/full/29592;2025/2026;3;7;1
https://www.vivoscuola.it/content/view/full/29592;2025/2026;4;5;1
https://www.vivoscuola.it/content/view/full/29592;2025/2026;5;1;1
https://www.vivoscuola.it/content/view/full/29592;2024/2025;1;9;1
https://www.vivoscuola.it/content/view/full/29592;2024/2025;2;7;1
https://www.vivoscuola.it/content/view/full/29592;2024/2025;3;6;1
https://www.vivoscuola.it/content/view/full/29592;2024/2025;4;1;1
https://www.vivoscuola.it/content/view/full/29592;2024/2025;5;6;1
https://www.vivoscuola.it/content/view/full/29592;2023/2024;1;7;1
https://www.vivoscuola.it/content/view/full/29592;2023/2024;2;7;1
https://www.vivoscuola.it/content/view/full/29592;2023/2024;3;1;1
https://www.vivoscuola.it/content/view/full/29592;2023/2024;4;6;1
https://www.vivoscuola.it/content/view/full/29595;2025/2026;1;12;1
https://www.vivoscuola.it/content/view/full/29595;2025/2026;2;9;1
https://www.vivoscuola.it/content/view/full/29595;2025/2026;3;14;1
https://www.vivoscuola.it/content/view/full/29595;2025/2026;4;12;1
https://www.vivoscuola.it/content/view/full/29595;2025/2026;5;17;1
https://www.vivoscuola.it/content/view/full/29595;2024/2025;1;10;1
https://www.vivoscuola.it/content/view/full/29595;2024/2025;2;13;1
https://www.vivoscuola.it/content/view/full/29595;2024/2025;3;13;1
https://www.vivoscuola.it/content/view/full/29595;2024/2025;4;17;1
https://www.vivoscuola.it/content/view/full/29595;2024/2025;5;10;1
https://www.vivoscuola.it/content/view/full/29595;2023/2024;1;12;1
https://www.vivoscuola.it/content/view/full/29595;2023/2024;2;13;1
https://www.vivoscuola.it/content/view/full/29595;2023/2024;3;19;1
https://www.vivoscuola.it/content/view/full/29595;2023/2024;4;9;1
https://www.vivoscuola.it/content/view/full/29595;2023/2024;5;21;1
https://www.vivoscuola.it/content/view/full/29597;2025/2026;1;87;4
https://www.vivoscuola.it/content/view/full/29597;2025/2026;2;114;5
https://www.vivoscuola.it/content/view/full/29597;2025/2026;3;98;4
https://www.vivoscuola.it/content/view/full/29597;2024/2025;1;111;5
https://www.vivoscuola.it/content/view/full/29597;2024/2025;2;95;4
https://www.vivoscuola.it/content/view/full/29597;2024/2025;3;92;4
https://www.vivoscuola.it/content/view/full/29597;2023/2024;1;93;4
https://www.vivoscuola.it/content/view/full/29597;2023/2024;2;90;4
https://www.vivoscuola.it/content/view/full/29597;2023/2024;3;96;5
https://www.vivoscuola.it/content/view/full/29596;2025/2026;1;12;1
https://www.vivoscuola.it/content/view/full/29596;2025/2026;2;15;1
https://www.vivoscuola.it/content/view/full/29596;2025/2026;3;12;1
https://www.vivoscuola.it/content/view/full/29596;2025/2026;4;12;1
https://www.vivoscuola.it/content/view/full/29596;2025/2026;5;15;1
https://www.vivoscuola.it/content/view/full/29596;2024/2025;1;15;1
https://www.vivoscuola.it/content/view/full/29596;2024/2025;2;13;1
https://www.vivoscuola.it/content/view/full/29596;2024/2025;3;12;1
https://www.vivoscuola.it/content/view/full/29596;2024/2025;4;15;1
https://www.vivoscuola.it/content/view/full/29596;2024/2025;5;14;1
https://www.vivoscuola.it/content/view/full/29596;2023/2024;1;14;1
https://www.vivoscuola.it/content/view/full/29596;2023/2024;2;12;1
https://www.vivoscuola.it/content/view/full/29596;2023/2024;3;15;1
https://www.vivoscuola.it/content/view/full/29596;2023/2024;4;15;1
https://www.vivoscuola.it/content/view/full/29596;2023/2024;5;19;1
https://www.vivoscuola.it/content/view/full/30000;2025/2026;0;27;0
https://www.vivoscuola.it/content/view/full/30000;2024/2025;0;29;0
https://www.vivoscuola.it/content/view/full/30000;2023/2024;0;26;0
https://www.vivoscuola.it/content/view/full/30054;2025/2026;0;24;0
https://www.vivoscuola.it/content/view/full/30054;2024/2025;0;26;0
https://www.vivoscuola.it/content/view/full/30054;2023/2024;0;30;0
