vivoscuola institute link;name;school link
https://www.vivoscuola.it/content/view/full/29697;"scuola primaria ""f. crispi"" trento";https://www.vivoscuola.it/content/view/full/29699
https://www.vivoscuola.it/content/view/full/29697;"scuola primaria ""r. sanzio"" trento";https://www.vivoscuola.it/content/view/full/29700
https://www.vivoscuola.it/content/view/full/29697;"scuola secondaria di primo grado ""g. bresadola"" trento";https://www.vivoscuola.it/content/view/full/29702
https://www.vivoscuola.it/content/view/full/29955;scuola dell'infanzia di campodenno;https://www.vivoscuola.it/content/view/full/29956
https://www.vivoscuola.it/content/view/full/29229;istituto tecnico per il settore economico;https://www.vivoscuola.it/content/view/full/29230
https://www.vivoscuola.it/content/view/full/29229;istituto tecnico per il settore tecnologico;https://www.vivoscuola.it/content/view/full/29231
https://www.vivoscuola.it/content/view/full/29229;liceo classico arcivescovile - trento;https://www.vivoscuola.it/content/view/full/29232
https://www.vivoscuola.it/content/view/full/29229;liceo scientifico arcivescovile - trento;https://www.vivoscuola.it/content/view/full/29234
https://www.vivoscuola.it/content/view/full/29229;scuola primaria arcivescovile trento;https://www.vivoscuola.it/content/view/full/29235
https://www.vivoscuola.it/content/view/full/29229;scuola secondaria di primo grado arcivescovile trento;https://www.vivoscuola.it/content/view/full/29236
https://www.vivoscuola.it/content/view/full/29832;istituto tecnico per il settore economico;https://www.vivoscuola.it/content/view/full/29833
https://www.vivoscuola.it/content/view/full/29832;istituto tecnico per il settore economico serale;https://www.vivoscuola.it/content/view/full/29834
https://www.vivoscuola.it/content/view/full/30123;scuola dell'infanzia di s. lorenzo in banale;https://www.vivoscuola.it/content/view/full/30124
https://www.vivoscuola.it/content/view/full/29348;"scuola dell'infanzia di cimone ""mamma teresa""";https://www.vivoscuola.it/content/view/full/29349
https://www.vivoscuola.it/content/view/full/29348;"scuola dell'infanzia di trento  ""torrione""";https://www.vivoscuola.it/content/view/full/29350
https://www.vivoscuola.it/content/view/full/29348;"scuola dell'infanzia di trento  mattarello  ""il castello""";https://www.vivoscuola.it/content/view/full/29351
https://www.vivoscuola.it/content/view/full/29348;"scuola dell'infanzia di trento  ravina  ""girotondo""";https://www.vivoscuola.it/content/view/full/29352
https://www.vivoscuola.it/content/view/full/29348;"scuola dell'infanzia di trento  romagnano  ""gli gnomi del bosco""";https://www.vivoscuola.it/content/view/full/29353
https://www.vivoscuola.it/content/view/full/29348;"scuola dell'infanzia di trento s.giuseppe ""maso ginocchio - collodi""";https://www.vivoscuola.it/content/view/full/29354
https://www.vivoscuola.it/content/view/full/30065;scuola dell'infanzia di ospedaletto;https://www.vivoscuola.it/content/view/full/30066
https://www.vivoscuola.it/content/view/full/30079;scuola dell'infanzia di pieve tesino;https://www.vivoscuola.it/content/view/full/30080
https://www.vivoscuola.it/content/view/full/30061;scuola dell'infanzia di nave san rocco;https://www.vivoscuola.it/content/view/full/30062
https://www.vivoscuola.it/content/view/full/29999;scuola dell'infanzia di fiavè;https://www.vivoscuola.it/content/view/full/30000
https://www.vivoscuola.it/content/view/full/29661;"scuola primaria ""mons. a. negri"" tres";https://www.vivoscuola.it/content/view/full/29662
https://www.vivoscuola.it/content/view/full/29661;scuola primaria coredo;https://www.vivoscuola.it/content/view/full/29663
https://www.vivoscuola.it/content/view/full/29661;scuola primaria taio;https://www.vivoscuola.it/content/view/full/29664
https://www.vivoscuola.it/content/view/full/29661;"scuola secondaria di primo grado ""f. barbacovi"" coredo";https://www.vivoscuola.it/content/view/full/29665
https://www.vivoscuola.it/content/view/full/29661;"scuola secondaria di primo grado ""f. barbacovi"" taio";https://www.vivoscuola.it/content/view/full/29666
https://www.vivoscuola.it/content/view/full/29578;"scuola primaria ""c. chiesa"" caldonazzo";https://www.vivoscuola.it/content/view/full/29579
https://www.vivoscuola.it/content/view/full/29578;"scuola primaria ""g. rosanelli"" tenna";https://www.vivoscuola.it/content/view/full/29580
https://www.vivoscuola.it/content/view/full/29578;"scuola primaria ""padre b. martinelli"" calceranica al lago";https://www.vivoscuola.it/content/view/full/29581
